色泽,根蒂,敲声,纹理,脐部,触感,密度,含糖率,好瓜
1.0,1.0,1.0,1.0,1.0,1.0,0.8549905838041434,1.0,是
1.0,1.0,0.37500000000000006,1.0,1.0,1.0,1.0,0.7990430622009568,是
1.0,1.0,1.0,1.0,1.0,1.0,0.7363465160075331,0.5311004784688995,是
1.0,1.0,0.37500000000000006,1.0,1.0,1.0,0.6873822975517891,0.6602870813397128,是
0.0,1.0,1.0,1.0,1.0,1.0,0.5894538606403015,0.4138755980861243,是
1.0,0.8333333333333333,1.0,1.0,0.6666666666666669,0.0,0.3013182674199623,0.4665071770334928,是
1.0,0.8333333333333333,1.0,0.33333333333333337,0.6666666666666669,0.0,0.4482109227871941,0.2559808612440191,是
1.0,0.8333333333333333,1.0,1.0,0.6666666666666669,1.0,0.3653483992467044,0.4043062200956937,是
1.0,0.8333333333333333,0.37500000000000006,0.33333333333333337,0.6666666666666669,1.0,0.7966101694915253,0.1172248803827751,否
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5382775119617225,否
0.0,0.0,0.0,0.0,0.0,1.0,0.003766478342749569,0.03588516746411484,否
0.0,1.0,1.0,0.0,0.0,0.0,0.1883239171374764,0.13636363636363635,否
1.0,0.8333333333333333,1.0,0.33333333333333337,1.0,1.0,0.7457627118644068,0.28468899521531105,否
0.0,0.8333333333333333,0.37500000000000006,0.33333333333333337,1.0,1.0,0.7796610169491527,0.3732057416267942,否
1.0,0.8333333333333333,1.0,1.0,0.6666666666666669,0.0,0.22033898305084748,0.7846889952153109,否
0.0,1.0,1.0,0.0,0.0,1.0,0.6591337099811676,0.0,否
1.0,1.0,0.37500000000000006,0.33333333333333337,0.6666666666666669,1.0,0.8964218455743882,0.14593301435406694,否
